Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
1998-12-23,0,0,0,0,0,0,0,0,0,0,0
1998-12-24,0,0,0,0,0,0,0,0,0,0,0
1998-12-28,0,0,0,0,0,0,0,0,0,0,0
1998-12-29,0,0,0,0,0,0,0,0,0,0,0
1998-12-30,0,0,0,0,0,0,0,0,0,0,0
1998-12-31,0,0,0,0,0,0,0,0,0,0,0
1999-01-04,0,0,0,0,0,0,0,0,0,0,0
1999-01-05,0,0,0,0,0,0,0,0,0,0,0
1999-01-06,0,0,0,0,0,0,0,0,0,0,0
1999-01-07,0,0,0,0,0,0,0,0,0,0,0
1999-01-08,0,0,0,0,0,0,0,0,0,0,0
1999-01-11,0,0,0,0,0,0,0,0,0,0,0
1999-01-12,0,0,0,0,0,0,0,0,0,0,0
1999-01-13,0,0,0,0,0,0,0,0,0,0,0
1999-01-14,0,0,0,0,0,0,0,0,0,0,0
1999-01-15,0,0,0,0,0,0,0,0,0,0,0
1999-01-19,0,0,0,0,0,0,0,0,0,0,0
1999-01-20,0,0,0,0,0,0,0,0,0,0,0
1999-01-21,0,0,0,0,0,0,0,0,0,0,0
1999-01-22,0,0,0,0,0,0,0,0,0,0,0
1999-01-25,0,0,0,0,0,0,0,0,0,0,0
1999-01-26,0,0,0,0,0,0,0,0,0,0,0
1999-01-27,0,0,0,0,0,0,0,0,0,0,0
1999-01-28,0,0,0,0,0,0,0,0,0,0,0
1999-01-29,0,0,0,0,0,0,0,0,0,0,0
1999-02-01,0,0,0,0,0,0,0,0,0,0,0
1999-02-02,0,0,0,0,0,0,0,0,0,0,0
1999-02-03,0,0,0,0,0,0,0,0,0,0,0
1999-02-04,0,0,0,0,0,0,0,0,0,0,0
1999-02-05,0,0,0,0,0,0,0,0,0,0,0
1999-02-08,0,0,0,0,0,0,0,0,0,0,0
1999-02-09,0,0,0,0,0,0,0,0,0,0,0
1999-02-10,0,0,0,0,0,0,0,0,0,0,0
1999-02-11,0,0,0,0,0,0,0,0,0,0,0
1999-02-12,0,0,0,0,0,0,0,0,0,0,0
1999-02-16,0,0,0,0,0,0,0,0,0,0,0
1999-02-17,0,0,0,0,0,0,0,0,0,0,0
1999-02-18,0,0,0,0,0,0,0,0,0,0,0
1999-02-19,0,0,0,0,0,0,0,0,0,0,0
1999-02-22,0,0,0,0,0,0,0,0,0,0,0
1999-02-23,0,0,0,0,0,0,0,0,0,0,0
1999-02-24,0,0,0,0,0,0,0,0,0,0,0
1999-02-25,0,0,0,0,0,0,0,0,0,0,0
1999-02-26,0,0,0,0,0,0,0,0,0,0,0
1999-03-01,0,0,0,0,0,0,0,0,0,0,0
1999-03-02,0,0,0,0,0,0,0,0,0,0,0
1999-03-03,0,0,0,0,0,0,0,0,0,0,0
1999-03-04,0,0,0,0,0,0,0,0,0,0,0
1999-03-05,0,0,0,0,0,0,0,0,0,0,0
1999-03-08,0,0,0,0,0,0,0,0,0,0,0
1999-03-09,0,0,0,0,0,0,0,0,0,0,0
1999-03-10,0,0,0,0,0,0,0,0,0,0,0
1999-03-11,0,0,0,0,0,0,0,0,0,0,0
1999-03-12,0,0,0,0,0,0,0,0,0,0,0
1999-03-15,0,0,0,0,0,0,0,0,0,0,0
1999-03-16,0,0,0,0,0,0,0,0,0,0,0
1999-03-17,0,0,0,0,0,0,0,0,0,0,0
1999-03-18,0,0,0,0,0,0,0,0,0,0,0
1999-03-19,0,0,0,0,0,0,0,0,0,0,0
1999-03-22,0,0,0,0,0,0,0,0,0,0,0
1999-03-23,0,0,0,0,0,0,0,0,0,0,0
1999-03-24,0,0,0,0,0,0,0,0,0,0,0
1999-03-25,0,0,0,0,0,0,0,0,0,0,0
1999-03-26,0,0,0,0,0,0,0,0,0,0,0
1999-03-29,0,0,0,0,0,0,0,0,0,0,0
1999-03-30,0,0,0,0,0,0,0,0,0,0,0
1999-03-31,0,0,0,0,0,0,0,0,0,0,0
1999-04-01,1.2459209776473887e-13,0,0.4250238883948539,4.2387869811689795e-13,3.38211014907829e-13,3.588839899354394e-14,2.3469011746978896e-13,0,8.675796506055363e-15,6.025549841216703e-14,0.5749761116039199
1999-04-05,1.2459209776473887e-13,0,0.4250238883948539,4.2387869811689795e-13,3.38211014907829e-13,3.588839899354394e-14,2.3469011746978896e-13,0,8.675796506055363e-15,6.025549841216703e-14,0.5749761116039199
